Row,Column,Value
9,Alexander Black,1
966,Charles Kent,1
966,J. Stuart Blackton,1
1106,Edwin S. Porter,1
1285,J. Stuart Blackton,1
1482,D.W. Griffith,1
1998,Sidney M. Goldin,1
2483,Thomas H. Ince,1
2605,Francis J. Grandon,1
2669,Charles Giblyn,1
2669,Thomas H. Ince,1
2736,J. Searle Dawley,1
2767,Joseph A. Golden,1
2767,Edwin S. Porter,1
2822,Will Louis,1
2885,Frank E. Wolfe,1
3006,J. Searle Dawley,1
3006,Edwin S. Porter,1
3022,Herbert Brenon,1
3023,Herbert Brenon,1
3167,D.W. Griffith,1
3301,Hugh Ford,1
3301,Edwin S. Porter,1
3337,Theodore Marston,1
3362,Hobart Bosworth,1
3365,Alice Guy,1
3438,Lee Beggs,1
3471,George Loane Tucker,1
3508,J. Parker Read Jr.,1
3584,Bertram Harrison,1
3595,Edwin Carewe,1
3596,Walter Edwin,1
3618,J. Searle Dawley,1
3668,Caryl S. Fleming,1
3670,James Kirkwood,1
3698,Oscar Apfel,1
3698,Cecil B. DeMille,1
3743,Oscar Apfel,1
3743,Cecil B. DeMille,1
3804,Hugh Ford,1
3804,Edwin S. Porter,1
3816,Otis Turner,1
3817,George Irving,1
3817,Jack Pratt,1
3838,Christy Cabanne,1
3854,Charles C. Coleman,1
3869,Alice Guy,1
3890,D.W. Griffith,1
3897,Louis J. Gasnier,1
3897,George B. Seitz,1
3897,Leopold Wharton,1
3973,Sidney Drew,1
4027,Edwin S. Porter,1
4027,J. Searle Dawley,1
4028,Gilbert M. 'Broncho Billy' Anderson,1
4038,Christy Cabanne,1
4099,L. Frank Baum,1
4113,D.W. Griffith,1
4134,Lois Weber,1
4155,Vernon Day,1
4155,Theodore Wharton,1
4167,Martin Faust,1
4179,Eugene Moore,1
4181,D.W. Griffith,1
4207,J. Farrell MacDonald,1
4208,Oscar Apfel,1
4223,Christy Cabanne,1
4223,Raoul Walsh,1
4249,James Young,1
4257,J. Searle Dawley,1
4294,Cecil B. DeMille,1
4303,Herbert Hall Winslow,1
4319,Cyril Bruce,1
4319,Harry Carey,1
4325,Phillips Smalley,1
4325,Lois Weber,1
4328,Lloyd B. Carleton,1
4336,Howell Hansel,1
4363,Thomas N. Heffron,1
4369,James Young,1
4391,Herbert Brenon,1
4403,Augustus E. Thomas,1
4457,J. Farrell MacDonald,1
4465,Louis J. Gasnier,1
4465,Donald MacKenzie,1
4555,Lucius Henderson,1
4555,William Nigh,1
4558,J. Farrell MacDonald,1
4593,Frederick A. Thomson,1
4613,William F. Haddock,1
4630,Colin Campbell,1
4633,Otis Turner,1
4643,Charles L. Gaskill,1
4681,Edwin S. Porter,1
4707,Mack Sennett,1
4707,Charles Bennett,1
4740,Reginald Barker,1
4757,Hobart Bosworth,1
4766,Cecil B. DeMille,1
4816,Allan Dwan,1
4825,Maurice Tourneur,1
4838,Reginald Barker,1
4866,Oscar Apfel,1
4866,Cecil B. DeMille,1
4872,Maurice Tourneur,1
4905,Cecil B. DeMille,1
4911,Emile Chautard,1
4942,J. Stuart Blackton,1
4942,Wilfrid North,1
4972,D.W. Griffith,1
4974,Otis Turner,1
5005,Francis Ford,1
5041,Maurice Tourneur,1
5049,Albert Capellani,1
5054,George Lessey,1
5059,Cecil B. DeMille,1
5060,Cecil B. DeMille,1
5061,Raoul Walsh,1
5078,Cecil B. DeMille,1
5131,Joseph Adelman,1
5149,Reginald Barker,1
5149,Thomas H. Ince,1
5158,E.H. Calvert,1
5160,Francis J. Grandon,1
5163,Maurice Tourneur,1
5180,James Kirkwood,1
5200,William S. Hart,1
5200,Clifford Smith,1
5214,Christy Cabanne,1
5257,Henry W. Savage,1
5302,James Kirkwood,1
5339,Frank Powell,1
5392,Allan Dwan,1
5402,Cecil B. DeMille,1
5427,Thomas N. Heffron,1
5460,James Young,1
5522,Lawrence B. McGill,1
5535,George Melford,1
5556,Lois Weber,1
5557,Reginald Barker,1
5561,Frank Lloyd,1
5589,Cecil B. DeMille,1
5592,Herbert Brenon,1
5600,Christy Cabanne,1
5613,Chester M. Franklin,1
5613,Sidney Franklin,1
5621,Paul Powell,1
5682,Sidney Olcott,1
5733,Barry O'Neil,1
5770,Hugh Ford,1
5770,Edwin S. Porter,1
5808,Louis J. Gasnier,1
5808,Leopold Wharton,1
5808,Theodore Wharton,1
5809,Edgar Lewis,1
5823,John Emerson,1
5832,Reginald Barker,1
5928,Hugh Ford,1
5928,Edwin S. Porter,1
5939,Harry A. Pollard,1
5945,James Kirkwood,1
5960,Raoul Walsh,1
5974,George B. Seitz,1
5974,Leopold Wharton,1
5974,Theodore Wharton,1
5987,Raymond B. West,1
6008,Phillips Smalley,1
6008,Lois Weber,1
6059,E.H. Calvert,1
6101,Frank Hall Crane,1
6217,George Fitzmaurice,1
6243,Cecil B. DeMille,1
6276,Oliver D. Bailey,1
6283,Harry Harvey,1
6283,H.M. Horkheimer,1
6283,Henry King,1
6299,Paul Powell,1
6333,Stuart Paton,1
6339,Francis Ford,1
6339,Jacques Jaccard,1
6357,Lloyd Ingraham,1
6358,William Desmond Taylor,1
6375,Reginald Barker,1
6375,William S. Hart,1
6375,Clifford Smith,1
6413,Henry MacRae,1
6426,Allan Dwan,1
6437,William C. de Mille,1
6456,Albert Capellani,1
6476,Rupert Julian,1
6509,Chester M. Franklin,1
6509,Sidney Franklin,1
6517,Reginald Barker,1
6517,Thomas H. Ince,1
6517,Raymond B. West,1
6517,Walter Edwards,1
6517,David Hartford,1
6517,Jay Hunt,1
6517,J. Parker Read Jr.,1
6547,John H. Collins,1
6557,Colin Campbell,1
6589,Chester Withey,1
6592,Christy Cabanne,1
6614,Phillips Smalley,1
6614,Lois Weber,1
6621,Bertram Bracken,1
6641,Rupert Julian,1
6664,Thomas Dixon Jr.,1
6688,Christy Cabanne,1
6692,John B. O'Brien,1
6692,Christy Cabanne,1
6703,Emile Chautard,1
6736,Allan Dwan,1
6745,Chester M. Franklin,1
6745,Sidney Franklin,1
6770,Cecil B. DeMille,1
6773,Emile Chautard,1
6780,Charles Swickard,1
6780,William S. Hart,1
6780,Clifford Smith,1
6809,John Emerson,1
6826,Lloyd Ingraham,1
6831,John B. O'Brien,1
6864,D.W. Griffith,1
6895,Ernest C. Warde,1
6914,John Emerson,1
6943,Leopold Wharton,1
6943,Theodore Wharton,1
6995,John Emerson,1
7000,Frank Lloyd,1
7038,Cecil B. DeMille,1
7061,Paul Powell,1
7074,J. Searle Dawley,1
7120,George Foster Platt,1
7142,James Young,1
7160,William S. Hart,1
7167,Charles Giblyn,1
7167,Thomas H. Ince,1
7184,Raoul Walsh,1
7202,Sidney Olcott,1
7205,Arthur Maude,1
7220,Fred E. Wright,1
7246,Maurice Tourneur,1
7248,Donald Crisp,1
7255,William Desmond Taylor,1
7257,Christy Cabanne,1
7272,Francis X. Bushman,1
7272,John W. Noble,1
7303,William P.S. Earle,1
7303,Wally Van,1
7317,George L. Sargent,1
7338,Arthur Berthelet,1
7340,Lois Weber,1
7367,John Emerson,1
7368,Christy Cabanne,1
7453,Edward LeSaint,1
7454,Charles Swickard,1
7544,Rupert Julian,1
7558,Phillips Smalley,1
7558,Lois Weber,1
7573,Maurice Tourneur,1
7590,Frank Lloyd,1
7590,Eugene Moore,1
7610,Ruth Ann Baldwin,1
